,cod_zona,cod_rest,cods_revs,revs
0,g662606,d14091847,r778259474,Had a bit of trouble finding a good fine dining restaurant open in Tenerife with COVID and without having to travel to the north. Ended up finding this gem and ate here several times during our stay. Restaurants food is well above the standard of surrounding eateries and while not to the standard of great restaurants in capital cities it is a great choice if you want a fine dining experience while on holidays. The wine list is a little sparse but had some good quality Spanish wines on it. The eel dish was superb and the truffled egg was well done. 
1,g662606,d14091847,r777019148,"Wow - what a fantastic restaurant. From start to finish, the service and the food was excellent. We went for the 5 course a la Carte menu which was absolutely delicious and really good value. We started with 3 types of bread and 4 yummy butters and then 2 amuse Bouche. After tasting the first course (mine was an egg truffle starter) we regretted not going for the tasting menu as we knew the rest of the meal was going to be great. We loved the squid which was fried at the table, as well as the Iberian pork shoulder. I also loved the beautiful plates and cutlery which were bespoke to every meal / course. Finally at the end of the evening, the chef came to meet us and say thank you which was a really nice touch. Would thoroughly recommend!"
2,g662606,d14091847,r776462999,"From the moment we entered the restaurant to the moment we left it was a truly special experience.We went with the A la carte menu, my wife choosing 3 dishes and myself 5 which was no problem at all for the staff.The cava aperitif went down well, the bread cut at the table along with the assortment of stunning butters set the tone for the evening.Starters were chargrilled squid (cooked at the table), eel and canarian fish. The pick for me being the squid.Mains followed with cod (which we both had) which was lovely and fell apart on the fork. I also had veal cheeks which was extremely tender.Desserts of donaire garden and Duke rounded off a simply amazing meal. There was also a little glass tree of desserts brought gratis to the table containing sweet nibbles.Simply amazing. I hope this place survives the pandemic and can thrive on the other side. "
3,g662606,d14091847,r774541469,"Great restaurant with different menu options for a good price!Also, there’s a lovely view on the ocean.Very professional staff that really wanted to ensure that their guests were fully satisfied.The food combinations were also very inventive."
4,g662606,d14091847,r772942513,All I can say is AMAZING! The food and service were Michelin Star quality! We can’t wait to visit again...thank you so so much to all the staff at Restaurant Donaire!
5,g662606,d14091847,r772901151,"Very unexpected my wife and I stayed one night in the South of Tenerife and booked a table at Donaire.Location interior and views from restaurant are top. Le maitre and rest of staff understand very well the requirements and service expected for such a place. Excellent explanation on food and wine suggestions. We took the extensive 9 course menu and .... it was more than worth it. The chef understands very well how to use fine canary products to bring them to a modern culinary and up to date high level. Combining products, spices to visually very attractive presentations seem to be no effort at all.Been to many restaurants all over the globe, but this one found a high place in my ranking.If you would ask me to be very critical my personal advice would be to pronounce the spicing a bit more. But that is me only being very critical.Bart and Nadine"
6,g662606,d14091847,r768346838,"Excellent meal and beautiful restaurant, with a few extra treats to make the experience even more special for our anniversary. We had 5 courses from the a la carte menu, they were all fantastic! If anything, maybe too much food as we were not expecting the lovely selection of appetizers and petit fours. The service was brilliant, the glass was never empty, assistance at your seat every time you returned to the table, fresh napkins - it was all very professional and attentive. The price was very reasonable for a fine dining menu and experience, the equivalent in London would cost 3–4x more! If you’re looking for an exquisite dining experience, go here, I highly recommend it. The hotel also has a sky bar, we arrived slightly early and had a drink before our meal to take in the fantastic views. "
7,g662606,d14091847,r763768951,"Everything at this restaurant was amazing! The food, the presentation of each taster was wonderful! Even a different fancy plate they used for each taster was impressive. Iv been too many top restaurants in London but this chef needs to show them how it’s done properly! I had the honour of meeting the chef and told him just how amazing his cooking skills were, ((such a lovely man)). Well done I’m lost for words!!! 3 Michelin’s worth here....."
8,g662606,d14091847,r759452881,"Michelin star worth expierience! Food was outstanding, service superb! This is best fine dining area - even in post Covid times! You just can't miss it! "
9,g662606,d14091847,r750721794,Very nice food had taster menu we all so had the wine to go with the dishes witch I think was over priced 70.00. Restaurant open plan very bright and we where the only people dining. Nice touch to bring chef out to say hello.Would go back
10,g662606,d14091847,r778259474,Had a bit of trouble finding a good fine dining restaurant open in Tenerife with COVID and without having to travel to the north. Ended up finding this gem and ate here several times during our stay. Restaurants food is well above the standard of surrounding eateries and while not to the standard of great restaurants in capital cities it is a great choice if you want a fine dining experience while on holidays. The wine list is a little sparse but had some good quality Spanish wines on it. The eel dish was superb and the truffled egg was well done. 
11,g662606,d14091847,r777019148,"Wow - what a fantastic restaurant. From start to finish, the service and the food was excellent. We went for the 5 course a la Carte menu which was absolutely delicious and really good value. We started with 3 types of bread and 4 yummy butters and then 2 amuse Bouche. After tasting the first course (mine was an egg truffle starter) we regretted not going for the tasting menu as we knew the rest of the meal was going to be great. We loved the squid which was fried at the table, as well as the Iberian pork shoulder. I also loved the beautiful plates and cutlery which were bespoke to every meal / course. Finally at the end of the evening, the chef came to meet us and say thank you which was a really nice touch. Would thoroughly recommend!"
12,g662606,d14091847,r776462999,"From the moment we entered the restaurant to the moment we left it was a truly special experience.We went with the A la carte menu, my wife choosing 3 dishes and myself 5 which was no problem at all for the staff.The cava aperitif went down well, the bread cut at the table along with the assortment of stunning butters set the tone for the evening.Starters were chargrilled squid (cooked at the table), eel and canarian fish. The pick for me being the squid.Mains followed with cod (which we both had) which was lovely and fell apart on the fork. I also had veal cheeks which was extremely tender.Desserts of donaire garden and Duke rounded off a simply amazing meal. There was also a little glass tree of desserts brought gratis to the table containing sweet nibbles.Simply amazing. I hope this place survives the pandemic and can thrive on the other side. "
13,g662606,d14091847,r774541469,"Great restaurant with different menu options for a good price!Also, there’s a lovely view on the ocean.Very professional staff that really wanted to ensure that their guests were fully satisfied.The food combinations were also very inventive."
14,g662606,d14091847,r772942513,All I can say is AMAZING! The food and service were Michelin Star quality! We can’t wait to visit again...thank you so so much to all the staff at Restaurant Donaire!
15,g662606,d14091847,r772901151,"Very unexpected my wife and I stayed one night in the South of Tenerife and booked a table at Donaire.Location interior and views from restaurant are top. Le maitre and rest of staff understand very well the requirements and service expected for such a place. Excellent explanation on food and wine suggestions. We took the extensive 9 course menu and .... it was more than worth it. The chef understands very well how to use fine canary products to bring them to a modern culinary and up to date high level. Combining products, spices to visually very attractive presentations seem to be no effort at all.Been to many restaurants all over the globe, but this one found a high place in my ranking.If you would ask me to be very critical my personal advice would be to pronounce the spicing a bit more. But that is me only being very critical.Bart and Nadine"
16,g662606,d14091847,r768346838,"Excellent meal and beautiful restaurant, with a few extra treats to make the experience even more special for our anniversary. We had 5 courses from the a la carte menu, they were all fantastic! If anything, maybe too much food as we were not expecting the lovely selection of appetizers and petit fours. The service was brilliant, the glass was never empty, assistance at your seat every time you returned to the table, fresh napkins - it was all very professional and attentive. The price was very reasonable for a fine dining menu and experience, the equivalent in London would cost 3–4x more! If you’re looking for an exquisite dining experience, go here, I highly recommend it. The hotel also has a sky bar, we arrived slightly early and had a drink before our meal to take in the fantastic views. "
17,g662606,d14091847,r763768951,"Everything at this restaurant was amazing! The food, the presentation of each taster was wonderful! Even a different fancy plate they used for each taster was impressive. Iv been too many top restaurants in London but this chef needs to show them how it’s done properly! I had the honour of meeting the chef and told him just how amazing his cooking skills were, ((such a lovely man)). Well done I’m lost for words!!! 3 Michelin’s worth here....."
18,g662606,d14091847,r759452881,"Michelin star worth expierience! Food was outstanding, service superb! This is best fine dining area - even in post Covid times! You just can't miss it! "
19,g662606,d14091847,r750721794,Very nice food had taster menu we all so had the wine to go with the dishes witch I think was over priced 70.00. Restaurant open plan very bright and we where the only people dining. Nice touch to bring chef out to say hello.Would go back
20,g662606,d14091847,r778259474,Had a bit of trouble finding a good fine dining restaurant open in Tenerife with COVID and without having to travel to the north. Ended up finding this gem and ate here several times during our stay. Restaurants food is well above the standard of surrounding eateries and while not to the standard of great restaurants in capital cities it is a great choice if you want a fine dining experience while on holidays. The wine list is a little sparse but had some good quality Spanish wines on it. The eel dish was superb and the truffled egg was well done. 
21,g662606,d14091847,r777019148,"Wow - what a fantastic restaurant. From start to finish, the service and the food was excellent. We went for the 5 course a la Carte menu which was absolutely delicious and really good value. We started with 3 types of bread and 4 yummy butters and then 2 amuse Bouche. After tasting the first course (mine was an egg truffle starter) we regretted not going for the tasting menu as we knew the rest of the meal was going to be great. We loved the squid which was fried at the table, as well as the Iberian pork shoulder. I also loved the beautiful plates and cutlery which were bespoke to every meal / course. Finally at the end of the evening, the chef came to meet us and say thank you which was a really nice touch. Would thoroughly recommend!"
22,g662606,d14091847,r776462999,"From the moment we entered the restaurant to the moment we left it was a truly special experience.We went with the A la carte menu, my wife choosing 3 dishes and myself 5 which was no problem at all for the staff.The cava aperitif went down well, the bread cut at the table along with the assortment of stunning butters set the tone for the evening.Starters were chargrilled squid (cooked at the table), eel and canarian fish. The pick for me being the squid.Mains followed with cod (which we both had) which was lovely and fell apart on the fork. I also had veal cheeks which was extremely tender.Desserts of donaire garden and Duke rounded off a simply amazing meal. There was also a little glass tree of desserts brought gratis to the table containing sweet nibbles.Simply amazing. I hope this place survives the pandemic and can thrive on the other side. "
23,g662606,d14091847,r774541469,"Great restaurant with different menu options for a good price!Also, there’s a lovely view on the ocean.Very professional staff that really wanted to ensure that their guests were fully satisfied.The food combinations were also very inventive."
24,g662606,d14091847,r772942513,All I can say is AMAZING! The food and service were Michelin Star quality! We can’t wait to visit again...thank you so so much to all the staff at Restaurant Donaire!
25,g662606,d14091847,r772901151,"Very unexpected my wife and I stayed one night in the South of Tenerife and booked a table at Donaire.Location interior and views from restaurant are top. Le maitre and rest of staff understand very well the requirements and service expected for such a place. Excellent explanation on food and wine suggestions. We took the extensive 9 course menu and .... it was more than worth it. The chef understands very well how to use fine canary products to bring them to a modern culinary and up to date high level. Combining products, spices to visually very attractive presentations seem to be no effort at all.Been to many restaurants all over the globe, but this one found a high place in my ranking.If you would ask me to be very critical my personal advice would be to pronounce the spicing a bit more. But that is me only being very critical.Bart and Nadine"
26,g662606,d14091847,r768346838,"Excellent meal and beautiful restaurant, with a few extra treats to make the experience even more special for our anniversary. We had 5 courses from the a la carte menu, they were all fantastic! If anything, maybe too much food as we were not expecting the lovely selection of appetizers and petit fours. The service was brilliant, the glass was never empty, assistance at your seat every time you returned to the table, fresh napkins - it was all very professional and attentive. The price was very reasonable for a fine dining menu and experience, the equivalent in London would cost 3–4x more! If you’re looking for an exquisite dining experience, go here, I highly recommend it. The hotel also has a sky bar, we arrived slightly early and had a drink before our meal to take in the fantastic views. "
27,g662606,d14091847,r763768951,"Everything at this restaurant was amazing! The food, the presentation of each taster was wonderful! Even a different fancy plate they used for each taster was impressive. Iv been too many top restaurants in London but this chef needs to show them how it’s done properly! I had the honour of meeting the chef and told him just how amazing his cooking skills were, ((such a lovely man)). Well done I’m lost for words!!! 3 Michelin’s worth here....."
28,g662606,d14091847,r759452881,"Michelin star worth expierience! Food was outstanding, service superb! This is best fine dining area - even in post Covid times! You just can't miss it! "
29,g662606,d14091847,r750721794,Very nice food had taster menu we all so had the wine to go with the dishes witch I think was over priced 70.00. Restaurant open plan very bright and we where the only people dining. Nice touch to bring chef out to say hello.Would go back
30,g662606,d14091847,r778259474,Had a bit of trouble finding a good fine dining restaurant open in Tenerife with COVID and without having to travel to the north. Ended up finding this gem and ate here several times during our stay. Restaurants food is well above the standard of surrounding eateries and while not to the standard of great restaurants in capital cities it is a great choice if you want a fine dining experience while on holidays. The wine list is a little sparse but had some good quality Spanish wines on it. The eel dish was superb and the truffled egg was well done. 
31,g662606,d14091847,r777019148,"Wow - what a fantastic restaurant. From start to finish, the service and the food was excellent. We went for the 5 course a la Carte menu which was absolutely delicious and really good value. We started with 3 types of bread and 4 yummy butters and then 2 amuse Bouche. After tasting the first course (mine was an egg truffle starter) we regretted not going for the tasting menu as we knew the rest of the meal was going to be great. We loved the squid which was fried at the table, as well as the Iberian pork shoulder. I also loved the beautiful plates and cutlery which were bespoke to every meal / course. Finally at the end of the evening, the chef came to meet us and say thank you which was a really nice touch. Would thoroughly recommend!"
32,g662606,d14091847,r776462999,"From the moment we entered the restaurant to the moment we left it was a truly special experience.We went with the A la carte menu, my wife choosing 3 dishes and myself 5 which was no problem at all for the staff.The cava aperitif went down well, the bread cut at the table along with the assortment of stunning butters set the tone for the evening.Starters were chargrilled squid (cooked at the table), eel and canarian fish. The pick for me being the squid.Mains followed with cod (which we both had) which was lovely and fell apart on the fork. I also had veal cheeks which was extremely tender.Desserts of donaire garden and Duke rounded off a simply amazing meal. There was also a little glass tree of desserts brought gratis to the table containing sweet nibbles.Simply amazing. I hope this place survives the pandemic and can thrive on the other side. "
33,g662606,d14091847,r774541469,"Great restaurant with different menu options for a good price!Also, there’s a lovely view on the ocean.Very professional staff that really wanted to ensure that their guests were fully satisfied.The food combinations were also very inventive."
34,g662606,d14091847,r772942513,All I can say is AMAZING! The food and service were Michelin Star quality! We can’t wait to visit again...thank you so so much to all the staff at Restaurant Donaire!
35,g662606,d14091847,r772901151,"Very unexpected my wife and I stayed one night in the South of Tenerife and booked a table at Donaire.Location interior and views from restaurant are top. Le maitre and rest of staff understand very well the requirements and service expected for such a place. Excellent explanation on food and wine suggestions. We took the extensive 9 course menu and .... it was more than worth it. The chef understands very well how to use fine canary products to bring them to a modern culinary and up to date high level. Combining products, spices to visually very attractive presentations seem to be no effort at all.Been to many restaurants all over the globe, but this one found a high place in my ranking.If you would ask me to be very critical my personal advice would be to pronounce the spicing a bit more. But that is me only being very critical.Bart and Nadine"
36,g662606,d14091847,r768346838,"Excellent meal and beautiful restaurant, with a few extra treats to make the experience even more special for our anniversary. We had 5 courses from the a la carte menu, they were all fantastic! If anything, maybe too much food as we were not expecting the lovely selection of appetizers and petit fours. The service was brilliant, the glass was never empty, assistance at your seat every time you returned to the table, fresh napkins - it was all very professional and attentive. The price was very reasonable for a fine dining menu and experience, the equivalent in London would cost 3–4x more! If you’re looking for an exquisite dining experience, go here, I highly recommend it. The hotel also has a sky bar, we arrived slightly early and had a drink before our meal to take in the fantastic views. "
37,g662606,d14091847,r763768951,"Everything at this restaurant was amazing! The food, the presentation of each taster was wonderful! Even a different fancy plate they used for each taster was impressive. Iv been too many top restaurants in London but this chef needs to show them how it’s done properly! I had the honour of meeting the chef and told him just how amazing his cooking skills were, ((such a lovely man)). Well done I’m lost for words!!! 3 Michelin’s worth here....."
38,g662606,d14091847,r759452881,"Michelin star worth expierience! Food was outstanding, service superb! This is best fine dining area - even in post Covid times! You just can't miss it! "
39,g662606,d14091847,r750721794,Very nice food had taster menu we all so had the wine to go with the dishes witch I think was over priced 70.00. Restaurant open plan very bright and we where the only people dining. Nice touch to bring chef out to say hello.Would go back
40,g662606,d14091847,r778259474,Had a bit of trouble finding a good fine dining restaurant open in Tenerife with COVID and without having to travel to the north. Ended up finding this gem and ate here several times during our stay. Restaurants food is well above the standard of surrounding eateries and while not to the standard of great restaurants in capital cities it is a great choice if you want a fine dining experience while on holidays. The wine list is a little sparse but had some good quality Spanish wines on it. The eel dish was superb and the truffled egg was well done. 
41,g662606,d14091847,r777019148,"Wow - what a fantastic restaurant. From start to finish, the service and the food was excellent. We went for the 5 course a la Carte menu which was absolutely delicious and really good value. We started with 3 types of bread and 4 yummy butters and then 2 amuse Bouche. After tasting the first course (mine was an egg truffle starter) we regretted not going for the tasting menu as we knew the rest of the meal was going to be great. We loved the squid which was fried at the table, as well as the Iberian pork shoulder. I also loved the beautiful plates and cutlery which were bespoke to every meal / course. Finally at the end of the evening, the chef came to meet us and say thank you which was a really nice touch. Would thoroughly recommend!"
